UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1756066383028,0,left,-0.03802898,1.05584780,0.00488771,-0.08388442,0.01759348,0.07062786,0.99381365
1756066383028,1,right,0.02698114,1.06487783,0.00181144,-0.08388442,0.01759348,0.07062786,0.99381365
1756066383055,0,left,-0.03813364,1.05585113,0.00497825,-0.08394029,0.01786746,0.07052696,0.99381121
1756066383055,1,right,0.02687707,1.06486481,0.00186680,-0.08394029,0.01786746,0.07052696,0.99381121
1756066383064,0,left,-0.03822956,1.05585745,0.00504458,-0.08373100,0.01810269,0.07032523,0.99383891
1756066383064,1,right,0.02678377,1.06484294,0.00190651,-0.08373100,0.01810269,0.07032523,0.99383891
1756066383074,0,left,-0.03827685,1.05585271,0.00507747,-0.08359614,0.01826927,0.07049536,0.99383516
1756066383074,1,right,0.02673253,1.06485888,0.00191702,-0.08359614,0.01826927,0.07049536,0.99383516
1756066383108,0,left,-0.03842560,1.05587201,0.00514672,-0.08308073,0.01855364,0.07093014,0.99384218
1756066383108,1,right,0.02657432,1.06493316,0.00194915,-0.08308073,0.01855364,0.07093014,0.99384218
1756066383127,0,left,-0.03836882,1.05584914,0.00516792,-0.08315399,0.01853349,0.07106480,0.99382680
1756066383127,1,right,0.02662870,1.06492778,0.00197086,-0.08315399,0.01853349,0.07106480,0.99382680
1756066383138,0,left,-0.03838897,1.05583083,0.00515954,-0.08324150,0.01852873,0.07094731,0.99382796
1756066383138,1,right,0.02661076,1.06489397,0.00196357,-0.08324150,0.01852873,0.07094731,0.99382796
1756066383149,0,left,-0.03841450,1.05581196,0.00515630,-0.08329308,0.01853249,0.07085883,0.99382988
1756066383149,1,right,0.02658686,1.06486340,0.00196032,-0.08329308,0.01853249,0.07085883,0.99382988
1756066383160,0,left,-0.03843509,1.05580815,0.00515348,-0.08327933,0.01857855,0.07090177,0.99382711
1756066383160,1,right,0.02656525,1.06486470,0.00195115,-0.08327933,0.01857855,0.07090177,0.99382711
1756066383172,0,left,-0.03845160,1.05580493,0.00513606,-0.08314845,0.01856498,0.07106369,0.99382676
1756066383172,1,right,0.02654578,1.06488309,0.00193496,-0.08314845,0.01856498,0.07106369,0.99382676
1756066383183,0,left,-0.03847706,1.05581092,0.00512005,-0.08282298,0.01863460,0.07100808,0.99385661
1756066383183,1,right,0.02652103,1.06488214,0.00191342,-0.08282298,0.01863460,0.07100808,0.99385661
1756066383194,0,left,-0.03849326,1.05581378,0.00511786,-0.08280949,0.01876408,0.07107478,0.99385053
1756066383194,1,right,0.02650293,1.06489227,0.00189373,-0.08280949,0.01876408,0.07107478,0.99385053
1756066383205,0,left,-0.03849578,1.05584056,0.00511161,-0.08276351,0.01875013,0.07114185,0.99384982
1756066383205,1,right,0.02649924,1.06492807,0.00188901,-0.08276351,0.01875013,0.07114185,0.99384982
1756066383216,0,left,-0.03849031,1.05585343,0.00510894,-0.08275414,0.01875816,0.07122015,0.99384484
1756066383216,1,right,0.02650319,1.06495106,0.00188454,-0.08275414,0.01875816,0.07122015,0.99384484
1756066383227,0,left,-0.03849374,1.05585342,0.00511046,-0.08280569,0.01880095,0.07123922,0.99383837
1756066383227,1,right,0.02649920,1.06495288,0.00187980,-0.08280569,0.01880095,0.07123922,0.99383837
1756066383239,0,left,-0.03850830,1.05584596,0.00512079,-0.08286552,0.01884515,0.07118669,0.99383632
1756066383239,1,right,0.02648541,1.06493791,0.00188437,-0.08286552,0.01884515,0.07118669,0.99383632
1756066383250,0,left,-0.03852350,1.05584128,0.00513697,-0.08289795,0.01888048,0.07116183,0.99383472
1756066383250,1,right,0.02647049,1.06492950,0.00189590,-0.08289795,0.01888048,0.07116183,0.99383472
1756066383261,0,left,-0.03854065,1.05583541,0.00515512,-0.08287277,0.01894130,0.07118218,0.99383421
1756066383261,1,right,0.02645268,1.06492569,0.00190613,-0.08287277,0.01894130,0.07118218,0.99383421
1756066383272,0,left,-0.03856131,1.05583366,0.00516233,-0.08279401,0.01900912,0.07115274,0.99384158
1756066383272,1,right,0.02643222,1.06491962,0.00190553,-0.08279401,0.01900912,0.07115274,0.99384158
1756066383283,0,left,-0.03857415,1.05583434,0.00518287,-0.08277845,0.01911003,0.07117201,0.99383956
