UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1756066383028,-0.00552392,1.06036282,0.00334957,-0.08388442,0.01759348,0.07062786,0.99381365
1756066383055,-0.00562829,1.06035797,0.00342253,-0.08394029,0.01786746,0.07052696,0.99381121
1756066383064,-0.00572290,1.06035019,0.00347555,-0.08373100,0.01810269,0.07032523,0.99383891
1756066383074,-0.00577216,1.06035580,0.00349724,-0.08359614,0.01826927,0.07049536,0.99383516
1756066383108,-0.00592564,1.06040259,0.00354794,-0.08308073,0.01855364,0.07093014,0.99384218
1756066383127,-0.00587006,1.06038846,0.00356939,-0.08315399,0.01853349,0.07106480,0.99382680
1756066383138,-0.00588910,1.06036240,0.00356156,-0.08324150,0.01852873,0.07094731,0.99382796
1756066383149,-0.00591382,1.06033768,0.00355831,-0.08329308,0.01853249,0.07085883,0.99382988
1756066383160,-0.00593492,1.06033643,0.00355232,-0.08327933,0.01857855,0.07090177,0.99382711
1756066383172,-0.00595291,1.06034401,0.00353551,-0.08314845,0.01856498,0.07106369,0.99382676
1756066383183,-0.00597802,1.06034653,0.00351673,-0.08282298,0.01863460,0.07100808,0.99385661
1756066383194,-0.00599517,1.06035303,0.00350580,-0.08280949,0.01876408,0.07107478,0.99385053
1756066383205,-0.00599827,1.06038432,0.00350031,-0.08276351,0.01875013,0.07114185,0.99384982
1756066383216,-0.00599356,1.06040224,0.00349674,-0.08275414,0.01875816,0.07122015,0.99384484
1756066383227,-0.00599727,1.06040315,0.00349513,-0.08280569,0.01880095,0.07123922,0.99383837
1756066383239,-0.00601144,1.06039193,0.00350258,-0.08286552,0.01884515,0.07118669,0.99383632
1756066383250,-0.00602651,1.06038539,0.00351644,-0.08289795,0.01888048,0.07116183,0.99383472
1756066383261,-0.00604399,1.06038055,0.00353062,-0.08287277,0.01894130,0.07118218,0.99383421
1756066383272,-0.00606455,1.06037664,0.00353393,-0.08279401,0.01900912,0.07115274,0.99384158
1756066383283,-0.00607783,1.06037804,0.00354785,-0.08277845,0.01911003,0.07117201,0.99383956
1756066383294,-0.00608957,1.06038591,0.00357237,-0.08271473,0.01917248,0.07112303,0.99384717
1756066383306,-0.00609775,1.06039017,0.00359997,-0.08269428,0.01922724,0.07119501,0.99384266
1756066383317,-0.00610602,1.06039372,0.00362587,-0.08263609,0.01926802,0.07117377,0.99384824
1756066383328,-0.00611642,1.06039250,0.00364262,-0.08258779,0.01933758,0.07110531,0.99385580
1756066383339,-0.00612547,1.06040026,0.00366345,-0.08266545,0.01941460,0.07116236,0.99384376
1756066383350,-0.00613134,1.06040967,0.00369364,-0.08263183,0.01944109,0.07121628,0.99384217
1756066383361,-0.00613348,1.06041846,0.00372154,-0.08267102,0.01943595,0.07130771,0.99383246
1756066383372,-0.00612739,1.06041223,0.00374410,-0.08263547,0.01945100,0.07123942,0.99384002
1756066383383,-0.00612587,1.06039567,0.00377002,-0.08267019,0.01940731,0.07119038,0.99384150
1756066383394,-0.00614730,1.06040496,0.00380346,-0.08273708,0.01944254,0.07111317,0.99384077
1756066383405,-0.00618958,1.06042081,0.00382581,-0.08270851,0.01948798,0.07097913,0.99385184
1756066383417,-0.00622725,1.06043448,0.00384420,-0.08266418,0.01962133,0.07096399,0.99385399
1756066383428,-0.00626908,1.06044270,0.00385174,-0.08264788,0.01972684,0.07101640,0.99384951
1756066383439,-0.00629884,1.06044842,0.00385565,-0.08257440,0.01988223,0.07104765,0.99385029
1756066383450,-0.00632986,1.06046040,0.00385624,-0.08256050,0.01989910,0.07109600,0.99384765
1756066383461,-0.00635827,1.06046158,0.00386462,-0.08252137,0.01998896,0.07113506,0.99384630
1756066383472,-0.00638123,1.06046703,0.00386831,-0.08250354,0.02003872,0.07121571,0.99384100
1756066383483,-0.00639518,1.06046706,0.00387046,-0.08242217,0.02011742,0.07125656,0.99384324
1756066383494,-0.00640921,1.06046970,0.00386593,-0.08231742,0.02013411,0.07124160,0.99385265
1756066383505,-0.00641765,1.06047408,0.00386506,-0.08232915,0.02019779,0.07121104,0.99385258
1756066383517,-0.00643052,1.06046607,0.00387049,-0.08229096,0.02028763,0.07115709,0.99385778
1756066383528,-0.00645719,1.06046896,0.00387788,-0.08228659,0.02035793,0.07113909,0.99385799
